,avg_temp,,7-Year MA,,,city,country,avg_temp,,7-Year MA,,,,,,,
1934,8.63,,8.557142857,,1934,San Diego,United States,16.95,,16.17857143,,,,,,,
1935,8.52,,8.541428571,,1935,San Diego,United States,15.82,,16.13428571,,,,,,,
1936,8.55,,8.585714286,,1936,San Diego,United States,16.73,,16.21571429,,,,,,,
1937,8.7,,8.595714286,,1937,San Diego,United States,15.99,,16.2,,,,,,,
1938,8.86,,8.615714286,,1938,San Diego,United States,16.32,,16.09142857,,,,,,,
1939,8.76,,8.622857143,,1939,San Diego,United States,16.46,,16.20857143,,,,,,,
1940,8.76,,8.682857143,,1940,San Diego,United States,16.85,,16.44571429,,,,,,,
1941,8.77,,8.702857143,,1941,San Diego,United States,16.37,,16.36285714,,,,,,,
1942,8.73,,8.732857143,,1942,San Diego,United States,15.9,,16.37428571,,,,,,,
1943,8.76,,8.762857143,,1943,San Diego,United States,16.56,,16.35,,,,,,,
1944,8.85,,8.784285714,,1944,San Diego,United States,15.42,,16.26857143,,,,,,,
1945,8.58,,8.744285714,,1945,San Diego,United States,15.84,,16.2,,,,,,,
1946,8.68,,8.732857143,,1946,San Diego,United States,15.94,,16.12571429,,,,,,,
1947,8.8,,8.738571429,,1947,San Diego,United States,16.36,,16.05571429,,,,,,,
1948,8.75,,8.735714286,,1948,San Diego,United States,15.34,,15.90857143,,,,,,,
1949,8.59,,8.715714286,,1949,San Diego,United States,15.56,,15.86,,,,,,,
1950,8.37,,8.66,,1950,San Diego,United States,15.96,,15.77428571,,,,,,,
1951,8.63,,8.628571429,,1951,San Diego,United States,15.82,,15.83142857,,,,,,,
1952,8.64,,8.637142857,,1952,San Diego,United States,15.6,,15.79714286,,,,,,,
1953,8.87,,8.664285714,,1953,San Diego,United States,16.05,,15.81285714,,,,,,,
1954,8.56,,8.63,,1954,San Diego,United States,16.21,,15.79142857,,,,,,,
1955,8.63,,8.612857143,,1955,San Diego,United States,15.57,,15.82428571,,,,,,,
1956,8.28,,8.568571429,,1956,San Diego,United States,15.94,,15.87857143,,,,,,,
1957,8.73,,8.62,,1957,San Diego,United States,16.29,,15.92571429,,,,,,,
1958,8.77,,8.64,,1958,San Diego,United States,16.97,,16.09,,,,,,,
1959,8.73,,8.652857143,,1959,San Diego,United States,17.3,,16.33285714,,,,,,,
1960,8.58,,8.611428571,,1960,San Diego,United States,16.33,,16.37285714,,,,,,,
1961,8.8,,8.645714286,,1961,San Diego,United States,16.23,,16.37571429,,,,,,,
1962,8.75,,8.662857143,,1962,San Diego,United States,15.49,,16.36428571,,,,,,,
1963,8.86,,8.745714286,,1963,San Diego,United States,16.2,,16.40142857,,,,,,,
1964,8.41,,8.7,,1964,San Diego,United States,15.54,,16.29428571,,,,,,,
1965,8.53,,8.665714286,,1965,San Diego,United States,15.73,,16.11714286,,,,,,,
1966,8.6,,8.647142857,,1966,San Diego,United States,16.21,,15.96142857,,,,,,,
1967,8.7,,8.664285714,,1967,San Diego,United States,16.21,,15.94428571,,,,,,,
1968,8.52,,8.624285714,,1968,San Diego,United States,16.27,,15.95,,,,,,,
1969,8.6,,8.602857143,,1969,San Diego,United States,16.18,,16.04857143,,,,,,,
1970,8.7,,8.58,,1970,San Diego,United States,16.36,,16.07142857,,,,,,,
1971,8.6,,8.607142857,,1971,San Diego,United States,15.58,,16.07714286,,,,,,,
1972,8.5,,8.602857143,,1972,San Diego,United States,16.18,,16.14142857,,,,,,,
1973,8.95,,8.652857143,,1973,San Diego,United States,15.51,,16.04142857,,,,,,,
1974,8.47,,8.62,,1974,San Diego,United States,15.97,,16.00714286,,,,,,,
1975,8.74,,8.651428571,,1975,San Diego,United States,15.16,,15.84857143,,,,,,,
1976,8.35,,8.615714286,,1976,San Diego,United States,16.53,,15.89857143,,,,,,,
1977,8.85,,8.637142857,,1977,San Diego,United States,16.36,,15.89857143,,,,,,,
1978,8.69,,8.65,,1978,San Diego,United States,16.46,,16.02428571,,,,,,,
1979,8.73,,8.682857143,,1979,San Diego,United States,16.29,,16.04,,,,,,,
1980,8.98,,8.687142857,,1980,San Diego,United States,16.62,,16.19857143,,,,,,,
1981,9.17,,8.787142857,,1981,San Diego,United States,17.01,,16.34714286,,,,,,,
1982,8.64,,8.772857143,,1982,San Diego,United States,15.95,,16.46,,,,,,,
1983,9.03,,8.87,,1983,San Diego,United States,16.8,,16.49857143,,,,,,,
1984,8.69,,8.847142857,,1984,San Diego,United States,17.03,,16.59428571,,,,,,,
1985,8.66,,8.842857143,,1985,San Diego,United States,16.13,,16.54714286,,,,,,,
1986,8.83,,8.857142857,,1986,San Diego,United States,16.59,,16.59,,,,,,,
1987,8.99,,8.858571429,,1987,San Diego,United States,16.19,,16.52857143,,,,,,,
1988,9.2,,8.862857143,,1988,San Diego,United States,16.47,,16.45142857,,,,,,,
1989,8.92,,8.902857143,,1989,San Diego,United States,16.5,,16.53,,,,,,,
1990,9.23,,8.931428571,,1990,San Diego,United States,16.69,,16.51428571,,,,,,,
1991,9.18,,9.001428571,,1991,San Diego,United States,16.13,,16.38571429,,,,,,,
1992,8.84,,9.027142857,,1992,San Diego,United States,17.33,,16.55714286,,,,,,,
1993,8.87,,9.032857143,,1993,San Diego,United States,16.86,,16.59571429,,,,,,,
1994,9.04,,9.04,,1994,San Diego,United States,16.45,,16.63285714,,,,,,,
1995,9.35,,9.061428571,,1995,San Diego,United States,16.85,,16.68714286,,,,,,,
1996,9.04,,9.078571429,,1996,San Diego,United States,17.2,,16.78714286,,,,,,,
1997,9.2,,9.074285714,,1997,San Diego,United States,17.46,,16.89714286,,,,,,,
1998,9.52,,9.122857143,,1998,San Diego,United States,16.21,,16.90857143,,,,,,,
1999,9.29,,9.187142857,,1999,San Diego,United States,16.18,,16.74428571,,,,,,,
2000,9.2,,9.234285714,,2000,San Diego,United States,16.9,,16.75,,,,,,,
2001,9.41,,9.287142857,,2001,San Diego,United States,16.37,,16.73857143,,,,,,,
2002,9.57,,9.318571429,,2002,San Diego,United States,16.37,,16.67,,,,,,,
2003,9.53,,9.388571429,,2003,San Diego,United States,17.1,,16.65571429,,,,,,,
2004,9.32,,9.405714286,,2004,San Diego,United States,16.84,,16.56714286,,,,,,,
2005,9.7,,9.431428571,,2005,San Diego,United States,16.93,,16.67,,,,,,,
2006,9.53,,9.465714286,,2006,San Diego,United States,17.23,,16.82,,,,,,,
2007,9.73,,9.541428571,,2007,San Diego,United States,16.8,,16.80571429,,,,,,,
2008,9.43,,9.544285714,,2008,San Diego,United States,17.21,,16.92571429,,,,,,,
2009,9.51,,9.535714286,,2009,San Diego,United States,17.03,,17.02,,,,,,,
2010,9.7,,9.56,,2010,San Diego,United States,16.19,,16.89,,,,,,,
2011,9.52,,9.588571429,,2011,San Diego,United States,16.26,,16.80714286,,,,,,,
2012,9.51,,9.561428571,,2012,San Diego,United States,17.2,,16.84571429,,,,,,,
2013,9.61,,9.572857143,,2013,San Diego,United States,17.18,,16.83857143,,,,,,,
